0	379,420,
1	89,
2	596,804,223,
3	594,
4	134,
5	367,
6	22,
7	584,73,294,
8	753,129,483,181,
9	62,328,621,302,
10	452,974,
11	992,412,986,908,
12	360,
13	114,187,716,733,
14	56,
15	568,
16	746,332,
17	841,361,288,
18	928,305,919,847,
19	921,
20	913,
21	432,137,330,662,
22	465,921,555,839,
23	280,25,
24	623,
25	658,
26	432,587,933,181,
27	480,569,541,405,
28	464,
29	576,405,
30	10,747,693,951,
31	402,4,430,
32	680,865,619,203,
33	736,
34	451,
35	986,51,842,
36	440,419,357,
37	539,
38	550,
39	294,726,583,
40	210,395,509,415,
41	305,602,469,
42	32,73,551,303,
43	947,
44	962,924,189,727,
45	968,614,
46	937,737,861,23,
47	130,
48	294,
49	221,148,525,661,
50	549,294,
51	684,383,
52	667,686,
53	174,
54	192,138,277,519,
55	776,788,
56	224,409,498,974,
57	81,
58	272,860,479,
59	475,767,
60	67,651,308,454,
61	709,681,714,29,
62	314,927,
63	899,182,
64	21,
65	288,819,279,
66	732,845,846,
67	504,
68	841,177,37,
69	671,167,
70	851,355,460,
71	287,669,591,159,
72	505,635,435,927,
73	752,20,
74	9,
75	430,166,142,
76	960,811,51,
77	894,286,
78	376,667,725,432,
79	655,919,
80	154,43,
81	766,
82	803,
83	32,894,
84	739,332,229,
85	532,726,238,701,
86	272,751,372,231,
87	760,849,762,
88	964,101,
89	504,
90	770,349,229,262,
91	248,
92	641,340,559,
93	49,242,795,
94	992,63,
95	712,353,406,
96	961,98,579,
97	368,806,131,467,
98	441,283,933,255,
99	515,491,741,759,
100	144,674,979,906,
101	74,459,990,959,
102	32,622,
103	834,195,174,254,
104	560,163,
105	720,441,403,699,
106	465,765,
107	44,
108	569,
109	393,977,815,
110	953,236,774,
111	408,989,
112	960,81,438,
113	224,362,762,951,
114	880,106,498,
115	152,
116	624,145,616,374,
117	353,131,511,
118	202,
119	345,249,906,61,
120	743,
121	240,529,891,37,
122	685,894,71,
123	467,197,654,
124	825,
125	560,131,923,366,
126	444,916,626,
127	508,583,
128	708,183,
129	20,237,572,191,
130	190,
131	787,846,671,
132	617,738,476,868,
133	696,
134	54,
135	360,312,104,247,
136	928,
137	947,
138	620,741,300,
139	624,403,443,
140	220,597,
141	320,186,
142	539,829,
143	451,404,
144	105,922,913,38,
145	152,489,682,315,
146	569,539,
147	457,942,
148	891,
149	952,601,
150	745,987,
151	924,
152	625,538,828,
153	456,554,
154	667,180,757,
155	240,17,308,
156	808,370,547,
157	683,317,
158	922,658,87,
159	818,427,
160	609,395,
161	938,989,415,
162	346,957,118,
163	754,69,21,
164	369,404,445,647,
165	370,
166	201,
167	242,5,214,
168	645,486,
169	788,
170	910,
171	253,126,
172	384,302,485,958,
173	35,
174	99,308,629,903,
175	729,942,295,
176	200,772,
177	729,322,932,717,
178	306,908,
179	624,185,777,
180	293,383,
181	218,82,35,
182	592,313,605,128,
183	456,
184	639,
185	182,
186	290,
187	100,
188	598,
189	240,242,282,709,
190	749,935,
191	400,769,210,823,
192	46,
193	430,
194	120,822,
195	474,868,382,
196	209,362,676,868,
197	616,787,152,559,
198	32,914,220,
199	821,
200	883,
201	232,978,107,759,
202	476,52,
203	448,49,866,952,
204	149,478,815,
205	811,214,750,335,
206	363,629,494,519,
207	882,867,46,
208	404,378,771,676,
209	793,442,979,999,
210	435,324,317,918,
211	500,
212	344,524,540,
213	640,224,722,848,
214	703,
215	288,713,645,305,
216	729,666,
217	946,532,6,375,
218	928,956,772,154,
219	605,
220	475,367,
221	433,605,847,
222	745,811,581,
223	329,653,
224	680,307,70,246,
225	81,129,
226	10,
227	90,300,223,
228	675,468,
229	626,38,
230	984,692,4,223,
231	192,333,
232	138,60,543,
233	440,971,967,
234	65,297,78,
235	525,223,
236	800,893,830,720,
237	278,415,
238	608,522,610,
239	568,593,396,500,
240	152,482,30,
241	660,39,
242	625,788,881,
243	976,
244	73,331,971,604,
245	667,676,495,
246	782,
247	198,
248	1,588,758,703,
249	304,227,615,
250	616,945,452,541,
251	960,
252	528,438,758,975,
253	448,393,832,652,
254	868,78,
255	291,702,
256	53,187,565,
257	360,432,
258	273,359,
259	388,372,36,
260	144,7,957,639,
261	96,234,999,
262	144,
263	751,
264	545,284,967,
265	419,
266	457,171,
267	754,67,797,397,
268	97,427,
269	482,835,198,631,
270	746,653,174,
271	640,45,677,
272	924,461,159,
273	345,
274	960,641,956,639,
275	285,
276	131,892,
277	232,935,464,
278	595,958,903,
279	896,536,381,
280	771,964,991,
281	726,
282	905,633,
283	38,713,474,390,
284	668,
285	539,
286	880,178,
287	736,825,163,286,
288	250,454,
289	114,501,
290	905,271,
291	838,942,
292	67,100,
293	664,9,19,124,
294	349,
295	662,
296	951,372,134,559,
297	373,
298	11,972,147,694,
299	433,116,87,809,
300	704,571,517,448,
301	992,2,301,
302	756,
303	84,847,55,
304	964,455,
305	897,993,982,895,
306	528,193,286,
307	930,18,5,23,
308	995,671,
309	322,
310	723,87,103,
311	362,134,558,
312	19,
313	624,
314	38,553,306,86,
315	994,
316	479,933,370,623,
317	408,875,
318	8,276,349,222,
319	480,88,965,278,
320	936,
321	138,907,798,
322	443,172,431,
323	636,
324	561,
325	632,0,
326	812,
327	445,
328	630,
329	873,364,
330	232,820,741,927,
331	472,
332	241,540,
333	727,
334	151,994,228,423,
335	154,805,535,
336	387,
337	577,115,319,575,
338	978,
339	920,378,79,463,
340	992,257,988,
341	626,926,430,366,
342	713,367,622,399,
343	264,185,181,134,
344	130,228,205,
345	336,1,706,643,
346	713,411,
347	256,889,460,487,
348	936,930,515,
349	593,605,421,343,
350	426,291,234,107,
351	307,
352	280,
353	241,427,745,631,
354	610,27,
355	644,820,421,590,
356	248,750,254,
357	569,693,878,
358	512,
359	648,68,741,
360	680,458,66,13,
361	664,68,221,750,
362	679,
363	136,514,
364	377,
365	9,274,261,
366	417,629,718,87,
367	426,45,
368	633,698,595,198,
369	98,251,268,757,
370	690,926,798,
371	456,
372	130,766,154,
373	885,743,
374	619,830,79,
375	72,906,371,502,
376	844,
377	826,29,
